id;first_name;last_name;email;twitter;bio;bio_content_type
1;Garnett;Schinner;Christelle_Renner59@hotmail.com;Dam;../fake-data/blob/hipster.png;image/png
2;Bailey;Beer;Sammie.Hartmann@yahoo.com;deposit Tasty Metal Bacon Implementation;../fake-data/blob/hipster.png;image/png
3;Abagail;Deckow;Christelle61@hotmail.com;Grocery Home;../fake-data/blob/hipster.png;image/png
4;Judge;Moore;Brody97@yahoo.com;Multi-channelled Licensed;../fake-data/blob/hipster.png;image/png
5;Liana;Dooley;Jordan.Wyman@yahoo.com;HDD;../fake-data/blob/hipster.png;image/png
6;Marilou;Dach;Aniyah_Ankunding96@yahoo.com;cross-platform access;../fake-data/blob/hipster.png;image/png
7;Axel;Fay;Dayne.Kessler60@hotmail.com;backing up Salad;../fake-data/blob/hipster.png;image/png
8;Giovanna;Gerhold;Makayla42@gmail.com;sky blue Georgia;../fake-data/blob/hipster.png;image/png
9;Alexandrea;Wisozk;Opal.Kirlin89@hotmail.com;Credit Card Account National Awesome;../fake-data/blob/hipster.png;image/png
10;Cleve;Leannon;Victoria.Hane74@gmail.com;South Georgia and the South Sandwich Islands;../fake-data/blob/hipster.png;image/png
